"scenario","n","d","rep","model","parameter","s1","smooth_hat","smooth_true"
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.425757575757576,-0.314525249598783,-0.213187046219773
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.435656565656566,-0.327791939833039,-0.217028254259769
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.445555555555556,-0.338207014457919,-0.220320718294052
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.455454545454545,-0.345886762706412,-0.22306443832262
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.465353535353535,-0.350921699226542,-0.225259414345475
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.475252525252525,-0.353377277301049,-0.226905646362616
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.485151515151515,-0.353317914848711,-0.228003134374043
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.495050505050505,-0.350807388461707,-0.228551878379757
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.504949494949495,-0.345918622647633,-0.228551878379757
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.514848484848485,-0.338947390637401,-0.228003134374043
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.524747474747475,-0.330470723778219,-0.226905646362616
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.534646464646465,-0.321082118899359,-0.225259414345475
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.544545454545455,-0.311375073153181,-0.22306443832262
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.554444444444444,-0.301936388610537,-0.220320718294052
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.564343434343434,-0.29294677933816,-0.217028254259769
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.574242424242424,-0.283953681218621,-0.213187046219773
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.584141414141414,-0.274449786884419,-0.208797094174064
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.594040404040404,-0.263927757314027,-0.203858398122641
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.603939393939394,-0.251881385681404,-0.198370958065504
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.613838383838384,-0.237953746354616,-0.192334774002653
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.623737373737374,-0.2220846724908,-0.185749845934088
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.633636363636364,-0.204249068146163,-0.17861617385981
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.643535353535354,-0.184421837020186,-0.170933757779818
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.653434343434343,-0.162578087831969,-0.162702597694113
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.663333333333333,-0.138780385991472,-0.153922693602694
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.673232323232323,-0.113315030388844,-0.144594045505561
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.683131313131313,-0.086503565188397,-0.134716653402714
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.693030303030303,-0.0586675376728661,-0.124290517294154
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.702929292929293,-0.0301284830360043,-0.11331563717988
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.712828282828283,-0.00132830097062864,-0.101792013059892
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.722727272727273,0.026891902752123,-0.0897196449341904
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.732626262626263,0.0536079373178524,-0.0770985328027752
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.742525252525252,0.0778956914246705,-0.0639286766656464
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.752424242424242,0.0988301386022856,-0.0502100765228038
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.762323232323232,0.11565957134804,-0.0359427323742476
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.772222222222222,0.128364384406461,-0.0211266442199776
"n500_d4_nbi_signal2",500,4,1,"gamlss","sigma",0.782121212121212,0.137128977671995,-0.0057618120599939
